iso_code,country,2021_last_updated,2020_population,area_sq_km,density_sq_km,growth_rate_,world_%,rank
AUT,Austria,9065484,9006398,83871,108,0.41,0.00,98
ISR,Israel,8868656,8655535,20770,423,1.55,0.00,99
CHE,Switzerland,8752564,8654622,41284,211,0.70,0.00,100
SRB,Serbia,8674489,8737371,88361,98,-0.46,0.00,101
TGO,Togo,8596357,8278724,56785,149,2.41,0.00,102
SLE,Sierra Leone,8238113,7976983,71740,113,2.06,0.00,103
HKG,Hong Kong,7585785,7496981,1104,6841,0.74,0.00,104
LAO,Laos,7439920,7275560,236800,31,1.43,0.00,105
PRY,Paraguay,7270717,7132538,406752,18,1.22,0.00,106
LBY,Libya,7007887,6871292,1759540,4,1.27,0.00,107
BGR,Bulgaria,6866274,6948445,110879,62,-0.75,0.00,108
LBN,Lebanon,6752766,6825445,10452,648,-0.82,0.00,109
NIC,Nicaragua,6748507,6624554,130373,51,1.17,0.00,110
KGZ,Kyrgyzstan,6689349,6524195,199951,33,1.60,0.00,111
SLV,El Salvador,6537250,6486205,21041,310,0.50,0.00,112
TKM,Turkmenistan,6168788,6031200,488100,13,1.44,0.00,113
SGP,Singapore,5925135,5850342,710,8305,0.79,0.00,114
DNK,Denmark,5825798,5792202,43094,135,0.36,0.00,115
FIN,Finland,5553102,5540720,338424,16,0.14,0.00,117
NOR,Norway,5492570,5421241,323802,17,0.82,0.00,118
SVK,Slovakia,5460937,5459642,49037,111,0.02,0.00,119
OMN,Oman,5296006,5106626,309500,17,2.29,0.00,120
PSE,Palestine,5293440,5101414,6220,840,2.38,0.00,121
LBR,Liberia,5252834,5057681,111369,47,2.42,0.00,122
CRI,Costa Rica,5165346,5094118,51100,101,0.88,0.00,123
IRL,Ireland,5008554,4937786,70273,71,0.91,0.00,124
CAF,Central African Republic,4971922,4829767,622984,8,1.87,0.00,125
NZL,New Zealand,4883704,4822233,270467,18,0.80,0.00,126
MRT,Mauritania,4848828,4649658,1030700,5,2.70,0.00,127
PAN,Panama,4420589,4314767,75417,58,1.55,0.00,128
KWT,Kuwait,4366698,4270571,17818,243,1.36,0.00,129
HRV,Croatia,4067642,4105267,56594,72,-0.58,0.00,130
MDA,Moldova,4017984,4033963,33846,119,-0.25,0.00,131
GEO,Georgia,3973946,3989167,69700,57,-0.24,0.00,132
ERI,Eritrea,3633796,3546421,117600,31,1.55,0.00,133
URY,Uruguay,3491832,3473730,181034,19,0.33,0.00,134
MNG,Mongolia,3359247,3278290,1564110,2,1.56,0.00,135
BIH,Bosnia And Herzegovina,3251612,3280819,51209,64,-0.53,0.00,136
JAM,Jamaica,2980575,2961167,10991,271,0.42,0.00,137
ARM,Armenia,2970929,2963243,29743,100,0.16,0.00,138
QAT,Qatar,2962425,2881053,11586,253,1.72,0.00,139
ALB,Albania,2869700,2877797,28748,100,-0.17,0.00,140
PRI,Puerto Rico,2806918,2860853,8870,319,-1.14,0.00,141
LTU,Lithuania,2670680,2722289,65300,41,-1.19,0.00,142
NAM,Namibia,2614500,2540905,825615,3,1.83,0.00,143
GMB,Gambia,2528326,2416668,10689,233,2.91,0.00,144
BWA,Botswana,2423535,2351627,582000,4,1.94,0.00,145
GAB,Gabon,2310507,2225734,267668,9,2.39,0.00,146
LSO,Lesotho,2169209,2142249,30355,71,0.79,0.00,147
MKD,North Macedonia,2082011,2083374,25713,81,-0.03,0.00,148
SVN,Slovenia,2078724,2078938,20273,103,-0.01,0.00,149
GNB,Guinea Bissau,2043512,1968001,36125,56,2.41,0.00,150
LVA,Latvia,1855735,1886198,64559,29,-1.02,0.00,151
BHR,Bahrain,1775452,1701575,765,2285,2.75,0.00,152
GNQ,Equatorial Guinea,1477483,1402985,28051,52,3.34,0.00,153
TTO,Trinidad And Tobago,1405746,1399488,5130,274,0.28,0.00,154
TLS,Timor Leste,1358744,1318445,14874,90,1.93,0.00,155
EST,Estonia,1324323,1326535,45227,29,-0.10,0.00,156
MUS,Mauritius,1274295,1271768,2040,624,0.13,0.00,157
CYP,Cyprus,1220541,1207359,9251,131,0.68,0.00,158
DJI,Djibouti,1010377,988000,23200,43,1.44,0.00,160
FJI,Fiji,906570,896445,18272,49,0.72,0.00,161
RU,Reunion,905350,895312,2511,359,0.71,0.00,162
COM,Comoros,899658,869601,1862,477,2.17,0.00,163
GUY,Guyana,792481,786552,214969,4,0.48,0.00,164
BTN,Bhutan,784855,771608,38394,20,1.07,0.00,165
SLB,Solomon Islands,714126,686884,28896,24,2.49,0.00,166
MAC,Macau,663998,649335,30,21946,1.40,0.00,167
LUX,Luxembourg,640202,625978,2586,245,1.41,0.00,168
MNE,Montenegro,628053,628066,13812,45,0.00,0.00,169
